,R1-,organocatalyst,organocatalyst(mol%),temp(â„ƒ),time(h),yield,R2_C,R2_H,under_O2,under_air,solvent_CH3CN,solvent_DMF,solvent_MeOH,solvent_toluene
0,[*]C1=CC=CC=C1,ClC1=CC=C(C(O)=O)C(O)=C1,5.0,90,24.0,81.0,0,1,1,0,0,0,0,1
1,[*]C1=CC=CC=C1,ClC1=CC=C(C(O)=O)C(O)=C1,5.0,90,12.0,14.0,0,1,1,0,0,0,0,1
2,[*]C1=CC=CC=C1,OC1=CC(C)=CC=C1C(O)=O,5.0,90,24.0,74.0,0,1,1,0,0,0,0,1
3,[*]C1=CC=CC=C1,OC1=CC(C)=CC=C1C(O)=O,5.0,90,12.0,15.0,0,1,1,0,0,0,0,1
4,[*]C1=CC=CC=C1,OC1=CC(OC)=CC=C1C(O)=O,5.0,90,24.0,90.0,0,1,1,0,0,0,0,1
5,[*]C1=CC=CC=C1,OC1=CC(OC)=CC=C1C(O)=O,5.0,90,12.0,81.0,0,1,1,0,0,0,0,1
6,[*]C1=CC=CC=C1,OC1=CC(OC)=CC=C1C(O)=O,5.0,90,8.0,43.0,0,1,1,0,0,0,0,1
7,[*]C1=CC=CC=C1,COC1=CC(OC)=C(C(O)=O)C(O)=C1,5.0,90,12.0,88.0,0,1,1,0,0,0,0,1
8,[*]C1=CC=CC=C1,COC1=CC(OC)=C(C(O)=O)C(O)=C1,5.0,90,6.0,95.0,0,1,1,0,0,0,0,1
9,[*]C1=CC=CC=C1,COC1=CC(OC)=C(C(O)=O)C(O)=C1,5.0,90,2.0,65.0,0,1,1,0,0,0,0,1
10,[*]C1=CC=CC=C1,CC(/N=N/C(C)(C#N)C)(C#N)C,5.0,90,6.0,33.0,0,1,1,0,0,0,0,1
11,[*]C1=CC=CC=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,5.0,90,6.0,93.0,0,1,1,0,0,0,0,1
12,[*]C1=CC=CC=C1,O=C1C(C=C(O)C(C(C)(C)C)=C1)=O,5.0,90,6.0,84.0,0,1,1,0,0,0,0,1
13,[*]C1=CC=CC=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,87.0,0,1,1,0,0,0,0,1
14,[*]C1=C(C)C=CC=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,85.0,0,1,1,0,0,0,0,1
15,[*]C1=CC=C(C)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,85.0,0,1,1,0,0,0,0,1
16,[*]C1=C(OC)C=CC=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,86.0,0,1,1,0,0,0,0,1
17,[*]C1=CC(OC)=CC=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,84.0,0,1,1,0,0,0,0,1
18,[*]C1=CC=C(OC)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,68.0,0,1,1,0,0,0,0,1
19,[*]C1=CC=C(C(C)(C)C)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,88.0,0,1,1,0,0,0,0,1
20,[*]C1=CC=C(Cl)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,85.0,0,1,1,0,0,0,0,1
21,[*]C1=CC=C(C(F)(F)F)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,68.0,0,1,1,0,0,0,0,1
22,[*]C1=C(C=CC=C2)C2=CC=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,87.0,0,1,1,0,0,0,0,1
23,[*]C1=CC=CO1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,37.0,0,1,1,0,0,0,0,1
24,[*]C1=NC=CC=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,9.0,0,1,1,0,0,0,0,1
25,[*]C1=CC=CS1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,84.0,0,1,1,0,0,0,0,1
26,[*]C1=CC=CC=C1,OC1=CC(O)=CC(O)=C1C(O)=O,5.0,90,2.0,86.0,0,1,1,0,0,0,0,1
27,[*]C1=C(C)C=CC=C1,OC1=CC(O)=CC(O)=C1C(O)=O,5.0,90,2.0,39.0,0,1,1,0,0,0,0,1
28,[*]C1=CC=C(C)C=C1,OC1=CC(O)=CC(O)=C1C(O)=O,5.0,90,2.0,88.0,0,1,1,0,0,0,0,1
29,[*]C1=C(OC)C=CC=C1,OC1=CC(O)=CC(O)=C1C(O)=O,5.0,90,2.0,83.0,0,1,1,0,0,0,0,1
30,[*]C1=CC(OC)=CC=C1,OC1=CC(O)=CC(O)=C1C(O)=O,5.0,90,2.0,83.0,0,1,1,0,0,0,0,1
31,[*]C1=CC=C(OC)C=C1,OC1=CC(O)=CC(O)=C1C(O)=O,5.0,90,2.0,86.0,0,1,1,0,0,0,0,1
32,[*]C1=CC=C(C(C)(C)C)C=C1,OC1=CC(O)=CC(O)=C1C(O)=O,5.0,90,2.0,87.0,0,1,1,0,0,0,0,1
33,[*]C1=CC=CC=C1,OC1=CC=CC=C1,5.0,90,24.0,7.0,0,1,1,0,0,0,0,1
34,[*]C1=CC=CC=C1,O=C(C1=CC=CC=C1)O,5.0,90,24.0,32.0,0,1,1,0,0,0,0,1
35,[*]C1=CC=CC=C1,OC1=C(C(O)=O)C=CC=C1,5.0,90,24.0,80.0,0,1,1,0,0,0,0,1
36,[*]C1=CC=CC=C1,O=C(C1=C(OC)C=CC=C1)O,5.0,90,24.0,6.0,0,1,1,0,0,0,0,1
37,[*]C1=CC=CC=C1,OC1=C(C(OC)=O)C=CC=C1,5.0,90,24.0,11.0,0,1,1,0,0,0,0,1
38,[*]C1=CC=CC=C1,OC1=C(CC(O)=O)C=CC=C1,5.0,90,24.0,32.0,0,1,1,0,0,0,0,1
39,[*]C1=CC=CC=C1,CC(O)=O,5.0,90,24.0,3.0,0,1,1,0,0,0,0,1
40,[*]C1=CC=CC=C1,CC1=CC=C(S(=O)(O)=O)C=C1,5.0,90,24.0,0.0,0,1,1,0,0,0,0,1
41,[*]C1=CC=C(CO)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,50.0,0,1,1,0,0,0,0,1
42,[*]C1=CC=C(C(O)C)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,40.0,0,1,1,0,0,0,0,1
43,[*]C1=CC=C(O)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0,1,1,0,0,0,0,1
44,[*]C1=CC=CC=C1,OC1=CC(O)=CC=C1C(O)=O,5.0,90,2.0,4.0,0,1,1,0,0,0,0,1
45,[*]C1=CC=CC=C1,OC1=CC=CC(O)=C1C(O)=O,5.0,90,2.0,6.0,0,1,1,0,0,0,0,1
46,[*]C1=CC=CC=C1,OC1=CC=CC=C1C(O)=O,5.0,90,2.0,3.0,0,1,1,0,0,0,0,1
47,[*]C1=CC=CC=C1,OC1=CC=C(C(O)=O)C=C1,5.0,90,2.0,3.0,0,1,1,0,0,0,0,1
48,[*]C1=CC=CC=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,87.0,0,1,1,0,1,0,0,0
49,[*]C1=CC=C(N)C=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,76.0,0,1,1,0,1,0,0,0
50,[*]C1=CC=C(OC)C=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,93.0,0,1,1,0,1,0,0,0
51,[*]C1=CC=C(Cl)C=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,90.0,0,1,1,0,1,0,0,0
52,[*]C1=CC=C(F)C=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,91.0,0,1,1,0,1,0,0,0
53,[*]C1=CC=C(C(F)(F)F)C=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,48.0,78.0,0,1,1,0,1,0,0,0
54,[*]C1=CC=CC(Cl)=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,48.0,72.0,0,1,1,0,1,0,0,0
55,[*]C1=CC=CC(I)=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,70.0,0,1,1,0,1,0,0,0
56,[*]C1=CC=CC=C1C,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,86.0,0,1,1,0,1,0,0,0
57,[*]C1=CC=CC=C1OC,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,73.0,0,1,1,0,1,0,0,0
58,[*]C1=C(C=CC=C2)C2=CC=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,81.0,0,1,1,0,1,0,0,0
59,[*]C1=CC(OCO2)=C2C=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,91.0,0,1,1,0,1,0,0,0
60,[*]C1=CC=CO1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,23,20.0,80.0,0,1,1,0,1,0,0,0
61,[*]C1=CC=CC=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,10.0,23,48.0,69.0,1,0,1,0,0,1,0,0
62,[*]C1=CC=C(C)C=C1,OC1=CC=CC(O)=C1O,4.0,23,24.0,90.0,0,1,0,1,0,0,1,0
63,[*]C1=CC=C(C)C=C1,OC1=CC=CC(O)=C1N,4.0,23,24.0,5.0,0,1,0,1,0,0,1,0
64,[*]C1=CC=C(C)C=C1,OC1=C2C(C=CC=C(O)C2=O)=CC(O)=C1O,2.0,23,24.0,75.0,0,1,0,1,0,0,1,0
65,[*]C1=CC=C(OC)C=C1,O=C1C=C(CCCCC)C2=CC=CC=C2C1=O,10.0,23,48.0,39.0,0,1,1,0,1,0,0,0
66,[*]C1=CC=C(OC)C=C1,O=C1C=C(OC)C2=CC=CC=C2C1=O,10.0,23,48.0,64.0,0,1,1,0,1,0,0,0
67,[*]C1=CC=C(OC)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,48.0,69.0,0,1,1,0,1,0,0,0
68,[*]C1=CC=C(OC)C=C1,O=C1C=C(C2=CC=C(F)C=C2)C3=CC=CC=C3C1=O,10.0,23,48.0,47.0,0,1,1,0,1,0,0,0
69,[*]C1=CC=C(OC)C=C1,O=C1C=C(C2=CC=C(OC)C=C2)C3=CC=CC=C3C1=O,10.0,23,48.0,63.0,0,1,1,0,1,0,0,0
70,[*]C1=CC=C(OC)C=C1,O=C1C(CCCCC)=C(CCCCC)C2=CC=CC=C2C1=O,10.0,23,48.0,9.0,0,1,1,0,1,0,0,0
71,[*]C1=CC=C(OC)C=C1,O=C1C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC=CC=C4C1=O,10.0,23,48.0,29.0,0,1,1,0,1,0,0,0
72,[*]C1=CC=C(OC)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,20.0,23,24.0,91.0,0,1,1,0,1,0,0,0
73,[*]C1=CC=C(OC)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5.0,23,48.0,33.0,0,1,1,0,1,0,0,0
74,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15.0,80,48.0,0.0,0,1,0,1,1,0,0,0
75,[*]C1=CC=C(OC)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15.0,80,48.0,0.0,0,1,0,1,1,0,0,0
76,[*]C1=CC(OCO2)=C2C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15.0,80,48.0,0.0,0,1,0,1,1,0,0,0
77,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5.0,23,48.0,32.0,1,0,0,1,1,0,0,0
78,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,48.0,46.0,1,0,0,1,1,0,0,0
79,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=C(OC)C=C2)C3=CC=CC=C3C1=O,10.0,23,48.0,36.0,1,0,0,1,1,0,0,0
80,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=C(F)C=C2)C3=CC=CC=C3C1=O,10.0,23,48.0,44.0,1,0,0,1,1,0,0,0
81,[*]C1=CC=CC=C1,O=C1C=CC2=CC=CC=C2C1=O,10.0,23,48.0,11.0,1,0,0,1,1,0,0,0
82,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=C(OC)C=C3C1=O,10.0,23,48.0,40.0,1,0,0,1,1,0,0,0
83,[*]C1=CC=CC=C1,O=C1C(C)=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,48.0,21.0,1,0,0,1,1,0,0,0
84,[*]C1=CC=CC=C1,O=C1C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC=CC=C4C1=O,10.0,23,48.0,8.0,1,0,0,1,1,0,0,0
85,[*]C1=CC=CC=C1,O=C1C(CCC)=C(CCC)C2=CC=CC=C2C1=O,10.0,23,48.0,17.0,1,0,0,1,1,0,0,0
86,[*]C1=CC=CC=C1,O=C1C=C(CCCCC)C2=CC=CC=C2C1=O,10.0,23,48.0,37.0,1,0,0,1,1,0,0,0
87,[*]C1=CC=CC=C1,O=C1C=C(OC)C2=CC=CC=C2C1=O,10.0,23,48.0,21.0,1,0,0,1,1,0,0,0
88,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,60,48.0,21.0,1,0,0,1,1,0,0,0
89,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,80,48.0,7.0,1,0,0,1,1,0,0,0
90,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15.0,80,48.0,0.0,1,0,0,1,1,0,0,0
91,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15.0,80,48.0,2.0,1,0,1,0,1,0,0,0
92,[*]C1=CC=CC=C1,O=C1C=CC(C=C1C(C)(C)C)=O,15.0,80,48.0,14.0,1,0,0,1,1,0,0,0
93,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,86.0,1,0,0,1,1,0,0,0
94,[*]C1=CC=C(C)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,67.0,1,0,0,1,1,0,0,0
95,[*]C1=CC=C(OC)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,69.0,1,0,0,1,1,0,0,0
96,[*]C1=CC=C(F)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,88.0,1,0,0,1,1,0,0,0
97,[*]C1=CC=C(Cl)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,80.0,1,0,0,1,1,0,0,0
98,[*]C1=CC=C(Br)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,84.0,1,0,0,1,1,0,0,0
99,[*]C1=CC=CC(Cl)=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,79.0,1,0,0,1,1,0,0,0
100,[*]C1=CC=CC(Br)=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,82.0,1,0,0,1,1,0,0,0
101,[*]C1=CC=C(Cl)C(Cl)=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,90.0,1,0,0,1,1,0,0,0
102,[*]C1=CC=C([N+]([O-])=O)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,65.0,1,0,0,1,1,0,0,0
103,[*]C1=CC=C(C(OC)=O)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,80.0,1,0,0,1,1,0,0,0
104,[*]C1=CC(OCO2)=C2C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,76.0,1,0,0,1,1,0,0,0
105,[*]C1=CC=CS1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10.0,23,24.0,89.0,1,0,0,1,1,0,0,0
106,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15.0,23,36.0,94.0,1,0,0,1,1,0,0,0
107,[*]C1=CC=CO1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,48.0,99.0,1,0,1,0,1,0,0,0
108,[*]C1=CC=C(F)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,48.0,80.0,1,0,1,0,1,0,0,0
109,[*]C1=CC=C(Cl)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,48.0,97.0,1,0,1,0,1,0,0,0
110,[*]C1=CC=C(Br)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,72.0,98.0,1,0,1,0,1,0,0,0
111,[*]C1=CC=C([N+]([O-])=O)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,48.0,99.0,1,0,1,0,1,0,0,0
112,[*]C1=CC=C(C)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,48.0,75.0,1,0,1,0,1,0,0,0
113,[*]C1=CC=C(OC)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,48.0,95.0,1,0,1,0,1,0,0,0
114,[*]C1=CC(Cl)=CC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,48.0,95.0,1,0,1,0,1,0,0,0
115,[*]C1=CC(Cl)=CC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,72.0,81.0,1,0,1,0,1,0,0,0
116,[*]C1=CC(Br)=CC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,72.0,95.0,1,0,1,0,1,0,0,0
117,[*]C1=CC=CC(OC)=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,48.0,89.0,1,0,1,0,1,0,0,0
118,[*]C1=CC(C)=C(C)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,72.0,99.0,1,0,1,0,1,0,0,0
119,[*]C1=CSC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,60,48.0,83.0,1,0,1,0,1,0,0,0
120,[*]C1=CC=CC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10.0,23,12.0,99.0,0,1,1,0,1,0,0,0
