,yield,organocatalyst(mol%),temp(â„ƒ),time(h),266_R1-,324_R1-,85_organocatalyst,93_organocatalyst,132_organocatalyst,138_organocatalyst,150_organocatalyst,160_organocatalyst,246_organocatalyst,258_organocatalyst,266_organocatalyst,286_organocatalyst,365_organocatalyst,370_organocatalyst,372_organocatalyst,378_organocatalyst,380_organocatalyst,386_organocatalyst,SLogPR1-,ATS1sorganocatalyst,AATS0porganocatalyst,AATSC0iorganocatalyst,GATS4sorganocatalyst,BalabanJorganocatalyst
0,81.0,-0.5995257606846857,1.120490325006081,-0.171685708586216,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,-0.3897820659,-1.4668311326,1.3379897514,-0.3687454932,0.8258840844,0.2569932916
1,14.0,-0.5995257606846857,1.120490325006081,-0.8011999734023415,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,-0.3897820659,-1.4668311326,1.3379897514,-0.3687454932,0.8258840844,0.2569932916
2,74.0,-0.5995257606846857,1.120490325006081,-0.171685708586216,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,-0.3897820659,-0.9986513762,-0.3720619381,-0.017202958,-0.0468853768,0.2569932916
3,15.0,-0.5995257606846857,1.120490325006081,-0.8011999734023415,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,-0.3897820659,-0.9986513762,-0.3720619381,-0.017202958,-0.0468853768,0.2569932916
4,90.0,-0.5995257606846857,1.120490325006081,-0.171685708586216,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,-0.3897820659,-0.3713778983,-0.5955293361,-0.1756839051,0.2402510918,0.2156615419
5,81.0,-0.5995257606846857,1.120490325006081,-0.8011999734023415,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,-0.3897820659,-0.3713778983,-0.5955293361,-0.1756839051,0.2402510918,0.2156615419
6,43.0,-0.5995257606846857,1.120490325006081,-1.0110380616743833,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,-0.3897820659,-0.3713778983,-0.5955293361,-0.1756839051,0.2402510918,0.2156615419
7,88.0,-0.5995257606846857,1.120490325006081,-0.8011999734023415,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,-0.3897820659,0.659404761,-0.9060612462,-0.429138698,-0.9366949213,0.7761511907
8,95.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,-0.3897820659,0.659404761,-0.9060612462,-0.429138698,-0.9366949213,0.7761511907
9,65.0,-0.5995257606846857,1.120490325006081,-1.325795194082446,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,-0.3897820659,0.659404761,-0.9060612462,-0.429138698,-0.9366949213,0.7761511907
10,33.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.3897820659,-0.6776781787,-0.9686473826,1.9555324714,3.7288946389,3.5195608142
11,93.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,-0.3897820659,-0.4759232579,-0.6821577078,-0.1999395206,-0.3307023486,0.8045623478
12,84.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,-0.3897820659,-0.4759232579,-0.6821577078,-0.1999395206,-0.8136891252,0.8045623478
13,87.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,-0.3897820659,0.659404761,-0.9060612462,-0.429138698,-0.9366949213,0.7761511907
14,85.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0.4458447233,0.659404761,-0.9060612462,-0.429138698,-0.9366949213,0.7761511907
15,85.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0.4458447233,0.659404761,-0.9060612462,-0.429138698,-0.9366949213,0.7761511907
16,86.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,-0.3664814033,0.659404761,-0.9060612462,-0.429138698,-0.9366949213,0.7761511907
17,84.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,-0.3664814033,0.659404761,-0.9060612462,-0.429138698,-0.9366949213,0.7761511907
18,68.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,-0.3664814033,0.659404761,-0.9060612462,-0.429138698,-0.9366949213,0.7761511907
19,88.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,3.1256376831,0.659404761,-0.9060612462,-0.429138698,-0.9366949213,0.7761511907
20,85.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1.3805264227,0.659404761,-0.9060612462,-0.429138698,-0.9366949213,0.7761511907
21,68.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,2.3705336492,0.659404761,-0.9060612462,-0.429138698,-0.9366949213,0.7761511907
22,87.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,2.7346742382,0.659404761,-0.9060612462,-0.429138698,-0.9366949213,0.7761511907
23,37.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,-1.4924994747,0.659404761,-0.9060612462,-0.429138698,-0.9366949213,0.7761511907
24,9.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,-2.0289565925,0.659404761,-0.9060612462,-0.429138698,-0.9366949213,0.7761511907
25,84.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,-0.2231552339,0.659404761,-0.9060612462,-0.429138698,-0.9366949213,0.7761511907
26,86.0,-0.5995257606846857,1.120490325006081,-1.325795194082446,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,-0.3897820659,0.2852414137,-0.6533724465,-0.2595952235,-1.4051127954,0.645884267
27,39.0,-0.5995257606846857,1.120490325006081,-1.325795194082446,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0.4458447233,0.2852414137,-0.6533724465,-0.2595952235,-1.4051127954,0.645884267
28,88.0,-0.5995257606846857,1.120490325006081,-1.325795194082446,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0.4458447233,0.2852414137,-0.6533724465,-0.2595952235,-1.4051127954,0.645884267
29,83.0,-0.5995257606846857,1.120490325006081,-1.325795194082446,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,-0.3664814033,0.2852414137,-0.6533724465,-0.2595952235,-1.4051127954,0.645884267
30,83.0,-0.5995257606846857,1.120490325006081,-1.325795194082446,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,-0.3664814033,0.2852414137,-0.6533724465,-0.2595952235,-1.4051127954,0.645884267
31,86.0,-0.5995257606846857,1.120490325006081,-1.325795194082446,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,-0.3664814033,0.2852414137,-0.6533724465,-0.2595952235,-1.4051127954,0.645884267
32,87.0,-0.5995257606846857,1.120490325006081,-1.325795194082446,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,3.1256376831,0.2852414137,-0.6533724465,-0.2595952235,-1.4051127954,0.645884267
33,7.0,-0.5995257606846857,1.120490325006081,-0.171685708586216,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,-0.3897820659,-3.1922742691,0.0576998329,0.1722530656,1.6965511977,-0.4839130992
34,32.0,-0.5995257606846857,1.120490325006081,-0.171685708586216,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.3897820659,-2.2385254149,0.1842895616,0.2089642674,2.3729171014,-0.2353095801
35,80.0,-0.5995257606846857,1.120490325006081,-0.171685708586216,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,-0.3897820659,-1.3948240991,-0.1298405061,0.0987487173,0.8706604072,0.1600416916
36,6.0,-0.5995257606846857,1.120490325006081,-0.171685708586216,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,-0.3897820659,-1.2077427556,-0.3720619381,-0.017202958,0.8472395135,0.2706919491
37,11.0,-0.5995257606846857,1.120490325006081,-0.171685708586216,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,-0.3897820659,-1.2077427556,-0.3720619381,-0.017202958,2.8376466458,0.1741647481
38,32.0,-0.5995257606846857,1.120490325006081,-0.171685708586216,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,-0.3897820659,-1.0500072463,-0.3720619381,-0.017202958,0.4950040254,-0.0820543758
39,3.0,-0.5995257606846857,1.120490325006081,-0.171685708586216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3897820659,-3.9626103392,-2.4585027264,-2.5406883592,-2.9225654081,-0.0103073624
40,0.0,-0.5995257606846857,1.120490325006081,-0.171685708586216,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,-0.3897820659,-2.9927616858,1.2408394944,1.3675796299,1.0010428627,0.1543358825
41,50.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,-1.7653339786,0.659404761,-0.9060612462,-0.429138698,-0.9366949213,0.7761511907
42,40.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,-0.2453721449,0.659404761,-0.9060612462,-0.429138698,-0.9366949213,0.7761511907
43,0.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,-1.1874233562,0.659404761,-0.9060612462,-0.429138698,-0.9366949213,0.7761511907
44,4.0,-0.5995257606846857,1.120490325006081,-1.325795194082446,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,-0.3897820659,-0.5584592418,-0.4070076814,-0.0637475175,0.2282271369,0.2569932916
45,6.0,-0.5995257606846857,1.120490325006081,-1.325795194082446,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,-0.3897820659,-0.5511227833,-0.4070076814,-0.0637475175,-0.6215640301,0.5257793423
46,3.0,-0.5995257606846857,1.120490325006081,-1.325795194082446,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,-0.3897820659,-1.3948240991,-0.1298405061,0.0987487173,0.8706604072,0.1600416916
47,3.0,-0.5995257606846857,1.120490325006081,-1.325795194082446,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,-0.3897820659,-1.4021605576,-0.1298405061,0.0987487173,1.9834663664,-0.1609454394
48,87.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,-0.3897820659,-0.4759232579,-0.6821577078,-0.1999395206,-0.3307023486,0.8045623478
49,76.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,-1.5217607721,-0.4759232579,-0.6821577078,-0.1999395206,-0.3307023486,0.8045623478
50,93.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,-0.3664814033,-0.4759232579,-0.6821577078,-0.1999395206,-0.3307023486,0.8045623478
51,90.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1.3805264227,-0.4759232579,-0.6821577078,-0.1999395206,-0.3307023486,0.8045623478
52,91.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,-0.0129073938,-0.4759232579,-0.6821577078,-0.1999395206,-0.3307023486,0.8045623478
53,78.0,-1.541637670332049,-0.935601812799328,1.0873428210460347,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,2.3705336492,-0.4759232579,-0.6821577078,-0.1999395206,-0.3307023486,0.8045623478
54,72.0,-1.541637670332049,-0.935601812799328,1.0873428210460347,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1.3805264227,-0.4759232579,-0.6821577078,-0.1999395206,-0.3307023486,0.8045623478
55,70.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1.2483087088,-0.4759232579,-0.6821577078,-0.1999395206,-0.3307023486,0.8045623478
56,86.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0.4458447233,-0.4759232579,-0.6821577078,-0.1999395206,-0.3307023486,0.8045623478
57,73.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,-0.3664814033,-0.4759232579,-0.6821577078,-0.1999395206,-0.3307023486,0.8045623478
58,81.0,-1.541637670332049,-0.935601812799328,-0.3815237968582579,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,2.7346742382,-0.4759232579,-0.6821577078,-0.1999395206,-0.3307023486,0.8045623478
